UserID,Name,Role,StoreID,Username,PasswordHash,Permissions
EMP100,Kenneth Green,Cashier,STR-002,donna49,6dc3dbd89f55daf1a2c389ef44bff962fc1d11026b90c7f4b3fd54b2808991fb,Basic
EMP101,Colton Warren,Manager,STR-002,jonesfrank,f618501e4bfc1aa4e59d9a4076d5dff99974fb8b53f9536307127e66b7010e40,Advanced
EMP102,Shelby Douglas,Cashier,STR-005,krhodes,ce76a81fde74702a89139d53f895ee9ff5d57f8ba6fc4ba723e46f765968db7d,Advanced
EMP103,Michael Sanders,Cashier,STR-002,helliott,0a3389a754c7f2c933839e2957e28bfd0793688a55b1f68701b8871b10834ac0,Basic
EMP104,Jill Thornton,Admin,STR-005,bethany03,7ad1cc3ad3d134a4f88fcf4eeaba9a53108b9d90f20d0b43920196f9823e44eb,Advanced
EMP105,Matthew Beck,Manager,STR-004,benderraymond,33c1374d378788554d35bf0ce80f29f5a24be1c904b697ceafa5f1317d504324,Advanced
EMP106,Robert Gonzalez,Cashier,STR-002,david49,796ddf581280f19136b0982ec1e0ed9f78ee9ae695422109e65a186c9f845315,Basic
EMP107,Richard Lamb,Admin,STR-002,johnsonjerry,5dad465c9af3d3480c8daeaf4e2f39097f63938f8569102b19e75ce2af1bc7ae,Advanced
EMP108,Yolanda Fischer,Admin,STR-004,christinawest,ed7a6953b1d673a8e76c821829c7990ecfcecc0afc208ff813317328b1422460,Advanced
EMP109,Brianna Johnson,Cashier,STR-003,sclark,ef1d6c8df965a29b5a70ee53bd46b9a9edbb9a10801c2da588bda0d84adecbaa,Basic
